SERVICIO,SM-CABRE,SM-MANZA,SM-PILAR,SM-ASTOL,SM-DERQU,SM-SVERD,SM-JCPAZ,SM-SMIGU,SM-MUNIZ,SM-BVIST,SM-MORRI,SM-HURLI,SM-PALOM,SM-CASER,SM-SLUGA,SM-SAENZ,SM-DEVOT,SM-VDPAR,SM-PATER,SM-VCRES,SM-PALER,SM-RETIR
3874,,,,,,,16:18,16:24,16:27,16:31,16:37,16:42,16:47,16:52,16:56,16:59,17:02,17:06,17:10,17:14,17:18,17:28
3876,,,16:15,16:20,16:25,16:31,16:37,16:43,16:46,16:50,16:56,17:01,17:06,17:11,17:15,17:18,17:21,17:25,17:29,17:33,17:37,17:47
3878,,,,,,,17:00,17:06,17:09,17:13,17:19,17:24,17:29,17:34,17:38,17:41,17:44,17:48,17:52,17:56,18:00,18:10
3880,,,17:03,17:08,17:13,17:19,17:25,17:31,17:34,17:38,17:44,17:49,17:54,17:59,18:03,18:06,18:09,18:13,18:17,18:21,18:25,18:35
3882,,,,,,,17:46,17:52,17:55,17:59,18:05,18:10,18:15,18:20,18:24,18:27,18:30,18:34,18:38,18:42,18:46,18:56
3884,17:26,17:34,17:48,17:53,17:58,18:04,18:10,18:16,18:19,18:23,18:29,18:34,18:39,18:44,18:48,18:51,18:54,18:58,19:02,19:06,19:10,19:20
3886,,,18:06,18:11,18:16,18:22,18:28,18:34,18:37,18:41,18:47,18:52,18:57,19:02,19:06,19:09,19:12,19:16,19:20,19:24,19:28,19:38
3888,,,,,,,18:48,18:54,18:57,19:01,19:07,19:12,19:17,19:22,19:26,19:29,19:32,19:36,19:40,19:44,19:48,19:58
3890,,,18:44,18:49,18:54,19:00,19:06,19:12,19:15,19:19,19:25,19:30,19:35,19:40,19:44,19:47,19:50,19:54,19:58,20:02,20:06,20:16
3892,,,,,,,19:26,19:32,19:35,19:39,19:45,19:50,19:55,20:00,20:04,20:07,20:10,20:14,20:18,20:22,20:26,20:36
3894,,,19:26,19:31,19:36,19:42,19:48,19:54,19:57,20:01,20:07,20:12,20:17,20:22,20:26,20:29,20:32,20:36,20:40,20:44,20:48,20:58
3896,,,,,,,20:09,20:15,20:18,20:22,20:28,20:33,20:38,20:43,20:47,20:50,20:53,20:57,21:01,21:05,21:09,21:19
3898,19:44,19:52,20:06,20:11,20:16,20:22,20:28,20:34,20:37,20:41,20:47,20:52,20:57,21:02,21:06,21:09,21:12,21:16,21:20,21:24,21:28,21:38
3900,,,20:32,20:37,20:42,20:48,20:54,21:00,21:03,21:07,21:13,21:18,21:23,21:28,21:32,21:35,21:38,21:42,21:46,21:50,21:54,22:04
3902,,,,,,,21:19,21:25,21:28,21:32,21:38,21:43,21:48,21:53,21:57,22:00,22:03,22:07,22:11,22:15,22:19,22:29
3904,,,21:22,21:27,21:32,21:38,21:44,21:50,21:53,21:57,22:03,22:08,22:13,22:18,22:22,22:25,22:28,22:32,22:36,22:40,22:44,22:54
3906,21:25,21:33,21:47,21:52,21:57,22:03,22:09,22:15,22:18,22:22,22:28,22:33,22:38,22:43,22:47,22:50,22:53,22:57,23:01,23:05,23:09,23:19
3908,,,22:08,22:13,22:18,22:24,22:30,22:36,22:39,22:43,22:49,22:54,22:59,23:04,23:08,23:11,23:14,23:18,23:22,23:26,23:30,23:40
3910,,,22:29,22:34,22:39,22:45,22:51,22:57,23:00,23:04,23:10,23:15,23:20,23:25,23:29,23:32,23:35,23:39,23:43,23:47,23:51,00:01
