SERVICIO,LM_RETIR,LM_LTORR,LM_BELGC,LM_NUNEZ,LM_RIVAD,LM_VLOPE,LM_OLIVO,LM_LUCIL,LM_MARTI,LM_ACASU,LM_SISID,LM_BECCA,LM_VICTO,LM_VIRRE,LM_SFERN,LM_CARUP,LM_TIGRE
3085,16:03,16:13,16:15,16:19,16:25,16:28,16:33,16:36,16:38,16:41,16:44,16:48,16:53,16:57,17:01,17:04,17:10
3087,16:20,16:30,16:32,16:36,16:42,16:45,16:50,16:53,16:55,16:58,17:01,17:05,17:10,17:14,17:18,17:21,17:27
3089,16:37,16:47,16:49,16:53,16:59,17:02,17:07,17:10,17:12,17:15,17:18,17:22,17:27,17:31,17:35,17:38,17:44
3091,16:53,17:03,17:05,17:09,17:15,17:18,17:23,17:26,17:28,17:31,17:34,17:38,17:43,17:47,17:51,17:54,18:00
3093,17:08,17:18,17:20,17:24,17:30,17:33,17:38,17:41,17:43,17:46,17:49,17:53,17:58,18:02,18:06,18:09,18:15
3095,17:23,17:33,17:35,17:39,17:45,17:48,17:53,17:56,17:58,18:01,18:04,18:08,18:13,18:17,18:21,18:24,18:30
3097,17:38,17:48,17:50,17:54,18:00,18:03,18:08,18:11,18:13,18:16,18:19,18:23,18:28,18:32,18:36,18:39,18:45
3099,17:53,18:03,18:05,18:09,18:15,18:18,18:23,18:26,18:28,18:31,18:34,18:38,18:43,18:47,18:51,18:54,19:00
3101,18:08,18:18,18:20,18:24,18:30,18:33,18:38,18:41,18:43,18:46,18:49,18:53,18:58,19:02,19:06,19:09,19:15
3103,18:23,18:33,18:35,18:39,18:45,18:48,18:53,18:56,18:58,19:01,19:04,19:08,19:13,19:17,19:21,19:24,19:30
3105,18:38,18:48,18:50,18:54,19:00,19:03,19:08,19:11,19:13,19:16,19:19,19:23,19:28,19:32,19:36,19:39,19:45
3107,18:53,19:03,19:05,19:09,19:15,19:18,19:23,19:26,19:28,19:31,19:34,19:38,19:43,19:47,19:51,19:54,20:00
3109,19:08,19:18,19:20,19:24,19:30,19:33,19:38,19:41,19:43,19:46,19:49,19:53,19:58,20:02,20:06,20:09,20:15
3111,19:23,19:33,19:35,19:39,19:45,19:48,19:53,19:56,19:58,20:01,20:04,20:08,20:13,20:17,20:21,20:24,20:30
3113,19:38,19:48,19:50,19:54,20:00,20:03,20:08,20:11,20:13,20:16,20:19,20:23,20:28,20:32,20:36,20:39,20:45
3115,19:53,20:03,20:05,20:09,20:15,20:18,20:23,20:26,20:28,20:31,20:34,20:38,20:43,20:47,20:51,20:54,21:00
3117,20:08,20:18,20:20,20:24,20:30,20:33,20:38,20:41,20:43,20:46,20:49,20:53,20:58,21:02,21:06,21:09,21:15
3119,20:23,20:33,20:35,20:39,20:45,20:48,20:53,20:56,20:58,21:01,21:04,21:08,21:13,21:17,21:21,21:24,21:30
3121,20:38,20:48,20:50,20:54,21:00,21:03,21:08,21:11,21:13,21:16,21:19,21:23,21:28,21:32,21:36,21:39,21:45
3123,20:53,21:03,21:05,21:09,21:15,21:18,21:23,21:26,21:28,21:31,21:34,21:38,21:43,21:47,21:51,21:54,22:00
3125,21:08,21:18,21:20,21:24,21:30,21:33,21:38,21:41,21:43,21:46,21:49,21:53,21:58,22:02,22:06,22:09,22:15
1827,21:32,21:42,21:44,21:48,21:54,21:57,22:02,22:05,22:07,22:10,22:13,22:17,22:22,22:26,22:30,22:33,22:39
3129,21:38,21:48,21:50,21:54,22:00,22:03,22:08,22:11,22:13,22:16,22:19,22:23,22:27,,,,
3133,22:07,22:17,22:19,22:23,22:29,22:32,22:37,22:40,22:42,22:45,22:48,22:52,22:56,,,,
