SERVICIO,BS-CATAN,BS-20JUN,BS-MAPAZ,BS-VILLA,BS-LOZAN
5101,08:47,09:07,09:30,10:00,
5003,11:38,11:58,12:21,,
5005,13:27,13:47,14:10,,
5007,15:20,15:40,16:03,,
5009,17:10,17:30,17:53,,
5111,19:02,19:22,19:45,20:15,
