SERVICIO,LR-BOSQU,LR-SSOFI,LR-GUTIE
1409,07:07,07:13,07:20
1411,08:07,08:13,08:20
1413,09:07,09:13,09:20
1415,10:07,10:13,10:20
1417,11:07,11:13,11:20
1419,12:06,12:12,12:19
1421,13:13,13:19,13:26
1423,14:13,14:19,14:26
1425,15:13,15:19,15:26
1427,16:13,16:19,16:26
1429,17:13,17:19,17:26
1431,18:13,18:19,18:26
1433,19:13,19:19,19:26
1435,20:13,20:19,20:26
1437,21:13,21:19,21:26
