SERVICIO,LR-GUTIE,LR-SSOFI,LR-BOSQU
1410,07:37,07:45,07:50
1412,08:37,08:45,08:50
1414,09:37,09:45,09:50
1416,10:37,10:45,10:50
1418,11:37,11:45,11:50
1420,12:35,12:43,12:48
1422,13:43,13:51,13:56
1424,14:43,14:51,14:56
1426,15:43,15:51,15:56
1428,16:43,16:51,16:56
1430,17:43,17:51,17:56
1432,18:43,18:51,18:56
1434,19:43,19:51,19:56
1436,20:43,20:51,20:56
1438,21:42,21:50,21:55
