SERVICIO,LR-BOSQU,LR-SSOFI,LR-GUTIE
1405,05:06,05:12,05:19
1407,06:08,06:14,06:21
1409,07:08,07:14,07:21
1411,08:08,08:14,08:21
1413,09:08,09:14,09:21
1415,10:08,10:14,10:21
1417,11:08,11:14,11:21
1419,12:08,12:14,12:21
1421,13:08,13:14,13:21
1423,14:08,14:14,14:21
1425,15:04,15:10,15:17
1427,16:08,16:14,16:21
1429,17:08,17:14,17:21
1431,18:08,18:14,18:21
1433,19:08,19:14,19:21
1435,20:08,20:14,20:21
