idEstacion,nombre,latitud,longitud
LS-LUJAN,LUJÁN,-34.5777553,-59.1052941
LS-JAURE,JÁUREGUI,-34.6006948,-59.1736895
LS-OLIVE,OLIVERA,-34.6279272,-59.2553985
LS-GOWLA,GOWLAND,-34.6478196,-59.3528390
LS-MERCE,MERCEDES,-34.6577990,-59.4322220
LS-KM.34,KM 34.5,-34.6801742,-58.7602409
LS-FERRA,A. FERRARI,-34.7060780,-58.7794327
LS-ACOST,M. ACOSTA,-34.7244791,-58.7930682
LS-MRCAL,MAQUINISTA RICARDO CAL,-34.7447770,-58.8081306
LS-MARCO,MARCOS PAZ,-34.7832092,-58.8366592
LS-ZAMUD,ZAMUDIO,-34.8578991,-58.8921946
LS-HORNO,HORNOS,-34.8923029,-58.9178610
LS-HERAS,LAS HERAS,-34.9280932,-58.9445443
LS-SPERA,SPERATTI,-35.0021051,-58.9998545
LS-ZAPIO,ZAPIOLA,-35.0583029,-59.0418857
LS-ELOBO,EMP. LOBOS,-35.1515057,-59.0908028
LS-LOBOS,LOBOS,-35.1848403,-59.0927904
SM-RETIR,RETIRO,-34.5888579,-58.3741843
SM-PALER,PALERMO,-34.5789111,-58.4268130
SM-VCRES,VILLA CRESPO,-34.5934824,-58.4485515
SM-PATER,LA PATERNAL,-34.5969831,-58.4671180
SM-VDPAR,VILLA DEL PARQUE,-34.6013699,-58.4935315
SM-DEVOT,DEVOTO,-34.6026704,-58.5128663
SM-SAENZ,SÁENZ PEÑA,-34.6031708,-58.5278989
SM-SLUGA,SANTOS LUGARES,-34.6036828,-58.5409703
SM-CASER,CASEROS,-34.6045943,-58.5647095
SM-PALOM,EL PALOMAR,-34.6049240,-58.5958736
SM-HURLI,HURLINGHAM,-34.5911517,-58.6322349
SM-MORRI,W. C. MORRIS,-34.5785609,-58.6563955
SM-BVIST,BELLA VISTA,-34.5638352,-58.6845919
SM-MUNIZ,MUÑIZ,-34.5512323,-58.7034606
SM-SMIGU,SAN MIGUEL,-34.5441372,-58.7132686
SM-JCPAZ,JOSÉ C. PAZ,-34.5190115,-58.7504431
SM-SVERD,SOL Y VERDE,-34.5043148,-58.7965871
SM-DERQU,PTE. DERQUI,-34.4908888,-58.8386488
SM-ASTOL,VILLA ASTOLFI,-34.4786178,-58.8770376
SM-PILAR,PILAR,-34.4686135,-58.9083124
SM-MANZA,MANZANARES,-34.4522459,-59.0067549
SM-CABRE,DR.CABRED,-34.4878244,-59.0756580
BS-SAENZ,DR. A. SÁENZ,-34.6490835,-58.4158387
BS-SOLDA,VILLA SOLDATI,-34.6622828,-58.4410917
BS-ILLIA,PTE. ILLIA,-34.6656436,-58.4490599
BS-LUGAN,LUGANO,-34.6772759,-58.4770979
BS-MADER,VILLA MADERO,-34.6840433,-58.4923276
BS-FOURN,M. DEL FOURNIER,-34.6901777,-58.5076299
BS-TAPIA,TAPIALES,-34.7024078,-58.5116991
BS-CASTE,ING. CASTELLO / KM 12,-34.7102867,-58.5060412
BS-QUERA,QUERANDÍ,-34.7224666,-58.5309116
BS-LAFER,LAFERRERE,-34.7507523,-58.5844338
BS-EVADU,EVA DUARTE,-34.7561325,-58.6008057
BS-INDEP,INDEPENDENCIA,-34.7609176,-58.6177546
BS-CATAN,GONZÁLEZ CATÁN,-34.7717022,-58.6468732
BS-BONZI,ALDO BONZI MARÍA,-34.7107066,-58.5143488
BS-MENDE,S. DE MENDEVILLE,-34.7123564,-58.5247424
BS-JINGE,JOSÉ INGENIEROS,-34.7107620,-58.5372560
BS-VILLE,J. VILLEGAS,-34.7089650,-58.5519393
BS-CASAN,ISIDRO CASANOVA,-34.7045467,-58.5873422
BS-CASTI,RAFAEL CASTILLO,-34.6996678,-58.6264089
BS-MGOME,MERLO GÓMEZ,-34.6970410,-58.6473450
BS-LIBER,LIBERTAD,-34.6921470,-58.6864030
BS-MCGBE,MARINOS DEL C. GRAL. BELGRANO,-34.7089204,-58.7312927
BS-20JUN,20 DE JUNIO,-34.7802634,-58.7379094
BS-MAPAZ,MARCOS PAZ,-34.7864831,-58.8296055
BS-VILLA,VILLARS,-34.8288253,-58.9387125
BS-LOZAN,LOZANO
