SERVICIO,LR-BOSQU,LR-ZEBAL,LR-FVARE,LR-ARDIG,LR-CLAYP,LR-RCALZ,LR-JMARM,LR-TEMPE,LR-LZAMO,LR-BANFI,LR-ESCAL,LR-LANUS,LR-GERLI,LR-AVELL,LR-HYRIG,LR-CONST
1262,17:58,18:03,18:07,18:13,18:17,18:20,18:23,18:27,18:30,18:33,18:36,18:39,18:43,18:47,,18:54
1266,18:10,18:15,18:19,18:25,18:29,18:32,18:35,18:38,18:41,18:43,18:45,18:48,18:51,18:55,,19:03
1270,18:22,18:27,18:31,18:37,18:41,18:44,18:47,18:51,18:54,18:57,19:00,19:03,19:07,19:11,,19:18
1274,18:34,18:39,18:43,18:49,18:53,18:56,18:59,19:02,19:05,19:07,19:09,19:12,19:15,19:19,,19:27
1278,18:46,18:51,18:55,19:01,19:05,19:08,19:11,19:15,19:18,19:21,19:24,19:27,19:31,19:35,,19:42
1286,19:10,19:15,19:19,19:25,19:29,19:32,19:35,19:39,19:42,19:45,19:48,19:51,19:55,19:59,,20:06
1290,19:22,19:27,19:31,19:37,19:41,19:44,19:47,19:50,19:53,19:55,19:57,20:00,20:03,20:07,,20:15
1294,19:34,19:39,19:43,19:49,19:53,19:56,19:59,20:03,20:06,20:09,,20:14,,20:22,,20:30
1298,19:46,19:51,19:55,20:01,20:05,20:08,20:11,20:15,20:18,20:21,,20:26,,20:34,,20:42
1302,19:58,20:03,20:07,20:13,20:17,20:20,20:23,20:27,20:30,20:33,,20:38,,20:46,,20:54
1306,20:10,20:15,20:19,20:25,20:29,20:32,20:35,20:39,20:42,20:45,,20:50,,20:58,,21:06
1310,20:22,20:27,20:31,20:37,20:41,20:44,20:47,20:51,20:54,20:57,,21:02,,21:10,,21:18
1314,20:34,20:39,20:43,20:49,20:53,20:56,20:59,21:03,21:06,21:09,,21:14,,21:22,,21:30
1318,20:46,20:51,20:55,21:01,21:05,21:08,21:11,21:15,21:18,21:21,,21:26,,21:34,,21:42
1326,21:15,21:20,21:24,21:30,21:34,21:37,21:40,21:44,21:47,21:50,,21:55,,22:03,,22:11
330,21:30,21:35,21:39,21:45,21:49,21:52,21:55,21:59,22:02,22:05,,22:10,,22:18,,22:26
1334,,,,,,,,22:11,22:14,22:17,,22:22,,22:30,,22:38
