SERVICIO,BS-LOZAN,BS-VILLA,BS-MAPAZ,BS-20JUN,BS-CATAN
5302,11:17,11:43,12:13,12:36,12:56
5204,,,14:17,14:40,15:00
5306,17:12,17:38,18:08,18:31,18:51
5208,,,19:55,20:18,20:38
