SERVICIO,LM_TIGRE,LM_CARUP,LM_SFERN,LM_VIRRE,LM_VICTO,LM_BECCA,LM_SISID,LM_ACASU,LM_MARTI,LM_LUCIL,LM_OLIVO,LM_VLOPE,LM_RIVAD,LM_NUNEZ,LM_BELGC,LM_LTORR,LM_RETIR
3106,17:23,17:29,17:32,17:35,17:39,17:43,17:48,17:51,17:54,17:56,18:00,18:04,18:08,18:13,18:17,18:19,18:30
3108,17:38,17:44,17:47,17:50,17:54,17:58,18:03,18:06,18:09,18:11,18:15,18:19,18:23,18:28,18:32,18:34,18:45
3110,17:53,17:59,18:02,18:05,18:09,18:13,18:18,18:21,18:24,18:26,18:30,18:34,18:38,18:43,18:47,18:49,19:00
3112,18:08,18:14,18:17,18:20,18:24,18:28,18:33,18:36,18:39,18:41,18:45,18:49,18:53,18:58,19:02,19:04,19:15
3114,18:23,18:29,18:32,18:35,18:39,18:43,18:48,18:51,18:54,18:56,19:00,19:04,19:08,19:13,19:17,19:19,19:30
3116,18:38,18:44,18:47,18:50,18:54,18:58,19:03,19:06,19:09,19:11,19:15,19:19,19:23,19:28,19:32,19:34,19:45
3118,18:53,18:59,19:02,19:05,19:09,19:13,19:18,19:21,19:24,19:26,19:30,19:34,19:38,19:43,19:47,19:49,20:00
3120,19:08,19:14,19:17,19:20,19:24,19:28,19:33,19:36,19:39,19:41,19:45,19:49,19:53,19:58,20:02,20:04,20:15
3122,19:23,19:29,19:32,19:35,19:39,19:43,19:48,19:51,19:54,19:56,20:00,20:04,20:08,20:13,20:17,20:19,20:30
3124,19:38,19:44,19:47,19:50,19:54,19:58,20:03,20:06,20:09,20:11,20:15,20:19,20:23,20:28,20:32,20:34,20:45
3126,19:53,19:59,20:02,20:05,20:09,20:13,20:18,20:21,20:24,20:26,20:30,20:34,20:38,20:43,20:47,20:49,21:00
3128,20:08,20:14,20:17,20:20,20:24,20:28,20:33,20:36,20:39,20:41,20:45,20:49,20:53,20:58,21:02,21:04,21:15
3130,20:23,20:29,20:32,20:35,20:39,20:43,20:48,20:51,20:54,20:56,21:00,21:04,21:08,21:13,21:17,21:19,21:30
3132,20:38,20:44,20:47,20:50,20:54,20:58,21:03,21:06,21:09,21:11,21:15,21:19,21:23,21:28,21:32,21:34,21:45
3134,20:53,20:59,21:02,21:05,21:09,21:13,21:18,21:21,21:24,21:26,21:30,21:34,21:38,21:43,21:47,21:49,22:00
