SERVICIO,BS-CATAN,BS-20JUN,BS-MAPAZ,BS-VILLA,BS-LOZAN
5301,09:15,09:35,09:58,10:28,10:56
5203,13:15,13:35,13:58,,
5305,15:12,15:32,15:55,16:25,16:53
5207,19:02,19:22,19:45,,
