SERVICIO,LR-GUTIE,LR-SSOFI,LR-BOSQU
1408,07:00,07:08,07:13
1410,08:00,08:08,08:13
1412,09:00,09:08,09:13
1414,09:59,10:07,10:12
1416,10:56,11:04,11:09
1418,11:50,11:58,12:03
1420,12:50,12:58,13:03
1422,13:58,14:06,14:11
1424,14:56,15:04,15:09
1426,15:56,16:04,16:09
1428,16:54,17:02,17:07
1430,17:56,18:04,18:09
1432,18:54,19:02,19:07
1434,19:52,20:00,20:05
1436,20:53,21:01,21:06
1438,21:54,22:02,22:07
