SERVICIO,LR-BOSQU,LR-SSOFI,LR-GUTIE
1407,06:30,06:36,06:43
1409,07:30,07:36,07:43
1411,08:30,08:36,08:43
1413,09:30,09:36,09:43
1415,10:27,10:33,10:40
1417,11:24,11:30,11:37
1419,12:18,12:24,12:31
1421,13:29,13:35,13:42
1423,14:27,14:33,14:40
1425,15:25,15:31,15:38
1427,16:25,16:31,16:38
1429,17:23,17:29,17:36
1431,18:25,18:31,18:38
1433,19:23,19:29,19:36
1435,20:24,20:30,20:37
1437,21:25,21:31,21:38
1439,22:34,22:40,22:47
