SERVICIO,BS-LOZAN,BS-VILLA,BS-MAPAZ,BS-20JUN,BS-CATAN
5102,,10:13,10:43,11:06,11:26
5004,,,12:31,12:54,13:14
5006,,,14:23,14:46,15:06
5008,,,16:15,16:38,16:58
5010,,,18:10,18:33,18:53
5112,,20:24,20:54,21:17,21:37
